IdealWFH,RequiredWFH,Gender,Dependents,Age,EmployerNPS,City,Staff,Comments
4,3,Man,No,35,9,Yes,0,
2,1,Woman,Yes,34,0,Yes,4,
3,2,Man,Yes,38,7,Yes,22,
2,2,Woman,No,33,10,Yes,11,"We have a flexible working policy, rather than a prescribed hybrid policy with set days in the office. Days in office are set at a team level. "
1,2,Man,Yes,43,8,Yes,20,
2,3,Man,No,34,8,No,10,
1,2,Woman,Yes,42,9,Yes,35,
2,2,Man,Yes,36,8,Yes,0,
4,2,Man,No,32,6,Yes,3,
3,3,Woman,Yes,40,6,Yes,5,
4,3,Woman,Yes,45,8,Yes,0,
1,2,Man,Yes,47,8,Yes,160,
3,2,Man,No,35,6,Yes,2,
2,2,Man,No,33,9,Yes,1,
3,2,Man,No,29,7,Yes,1,
4,3,Woman,Yes,42,7,Yes,1,Employer understands my reduced office attendance due to my caring responsibilities
5,4,Woman,No,26,9,Yes,10,
2,2,Man,Yes,40,5,No,60,
3,2,Woman,Yes,41,5,Yes,5,
3,3,Woman,Yes,32,8,No,0,
2,4,Man,Yes,36,7,Yes,10,
4,3,Woman,No,33,6,No,20,
2,3,Man,No,26,8,Yes,1,
3,3,Man,No,37,8,No,2,
3,3,Man,No,53,9,Yes,35,
3,2,Man,Yes,42,7,Yes,3,
1,0,Man,Yes,42,10,Yes,6,
2,2,Woman,Yes,39,2,Yes,30,"My actual preference would be 2.5 days - so 2 days one week, 3 the next. Also, I work part time, 4 days per week which I couldn’t reflect on my response. "
3,4,Man,Yes,49,10,Yes,2,
2,4,Man,Yes,54,10,Yes,30,
3,4,Woman,No,28,9,Yes,3,
3,2,Man,No,60,7,Yes,23,
3,2,Man,No,28,8,Yes,0,
2,2,Man,Yes,42,7,Yes,50,
0,5,Man,Yes,48,10,No,13,
3,3,Man,Yes,38,9,No,26,"The preference of how many days I would like to be in the office is dependent on my colleagues’ preferences / decisions. My ideal might be 2/3 days in the office per week, but if my team is spread geographically and can only come in once per week, there is little point me going in to be on my own. "
1,2,Man,No,52,10,Yes,15,
3,3,Man,Yes,35,10,Yes,3,
2,2,Man,No,32,10,Yes,0,
3,2,Man,Yes,39,8,Yes,35,
2,2,Prefer not to say,Yes,40,5,Yes,2,
4,3,Man,Yes,41,9,Yes,11,
3,5,Man,No,33,10,Yes,3,
3,3,Man,Yes,45,10,Yes,50,
1,2,Woman,No,32,5,Yes,3,
4,2,Woman,No,26,2,Yes,0,
4,5,Woman,Yes,44,9,Yes,18,
3,3,Man,No,34,10,Yes,6,
1,3,Man,No,53,10,Yes,7,
4,5,Man,Yes,53,6,Yes,0,
4,3,Woman,Yes,46,10,No,4,Ideally I’d like to wfh 3.5 days a week ie 3 days one week and 4 days the next. Wfh has saved my career as I don’t think I could have managed the commute with the menopause issues I’ve had over the last 5 years. My kids are 10 and 14 but if they were younger I’d want 4 days a week wfh. I notice that your survey doesn’t take into account part time work. Perhaps you should state people should put full time equivalent if tehy work part time? I moved roles in the summer and turned down interviews with companies that required more than 2 days in the office a week. Companies that are stricter on wfh are going to struggle with diversity. 
4,5,Man,Yes,38,7,Yes,0,
5,2,Woman,Yes,39,3,Yes,4,
1,1,Man,Yes,55,10,Yes,80,I think the WFH experiment will severely backfire on the next generation of actuaries. 
2,3,Man,Yes,44,10,No,35,
2,2,Man,Yes,36,7,Yes,5,
1,2,Man,No,54,8,No,3,"Hi Michael, Some of your questions don’t cover RSA Corporate Actuarial. We are required to do 6 days in a 4 week period so 1.5 days per week. However, this isn’t enforced and some still only do 1 or 2 days a month. I do 4 or 5 days a week in office mainly to interact with other teams. My role as a Director as Head of Actuarial Function means I have a team in India not U.K. so my time in office is interacting with Risk, UW, Claims, Pricing etc. I feel RSA should mandate more days in office for Actuarial. As said we are 1.5 days pw but most other functions are now mandated at 3 days pw and this is enforced unlike with us. Think we are too lenient but people have got used to WFH and helps with family life. When discussed jobs elsewhere in last year most other actuarial employers are minimum 3 days pw so surprising RSA so low."
4,4,Man,No,35,10,Yes,15,
3,3,Woman,Yes,38,10,Yes,3,Our company guide is 2 days a week in the office but this is routinely not followed. In practice it’s fine and works for me but it’s interesting to consider official rules vs. what is actually enforced.
1,2,Man,Yes,41,8,Yes,15,
4,2,Man,No,47,5,Yes,21,
1,2,Man,Yes,44,8,Yes,35,It may be interesting to see how people would rank the benefits and disadvantages of working in the office for themselves and also the people they manage
4,1,Woman,Yes,48,0,Yes,3,
5,4,Woman,Yes,40,6,Yes,2,I spend 6 hours and £200 of my firm’s money to spend 5 hours in the office because my employer wants me in once a week for a team office day. It’s really inefficient.
3,5,Man,Yes,42,10,Yes,85,
4,3,Man,Yes,44,8,No,6,
2,3,Woman,Yes,49,5,Yes,10,"I am interested if policies and people's behaviour are consistent all year e.g. year end vs summer, term time or not.  "
1,3,Man,Yes,47,6,No,120,
4,2,Woman,Yes,41,8,Yes,3,
5,5,Man,Yes,47,10,No,5,
3,2,Woman,Yes,34,10,Yes,4,
2,4,Man,No,31,9,No,5,
5,5,Woman,No,33,9,Yes,3,
4,3,Man,No,38,8,No,12,
2,2,Man,Yes,36,8,Yes,20,
5,3,Prefer not to say,No,36,10,Yes,5,
4,3,Man,No,37,7,Yes,0,
3,5,Man,No,29,10,Yes,3,
2,5,Man,No,52,10,No,9,"Michael, this is Simon Pollack.  I have answered as if an employee but I'm a company owner as you know.  I believe we lose a lot from being fully remote but having set it up in the pandemic I'm now stuck with it.  I believe that the younger people especially should come into the office daily or near-daily: we have a generation who are not going to learn either soft skills or by osmosis.  Teams calls are twice as good as phone calls but only half as good as face-to-face"
2,4,Man,No,29,8,Yes,6,
2,3,Man,No,34,9,Yes,3,
2,2,Man,Yes,36,8,Yes,11,
3,3,Man,No,41,10,Yes,7,
3,3,Man,Yes,50,6,Yes,65,
2,3,Man,No,32,10,Yes,3,
3,5,Woman,No,47,5,No,15,One of the main benefits of WFH for me is the ability to go for a long walk early in the morning instead of being sitting on the commuter train! Same again in the evening in the summer. A hybrid working style can tick both the personal health and work-social life boxes. 
4,3,Man,Yes,33,0,No,10,
4,2,Woman,No,52,5,Yes,21,
1,2,Man,No,31,7,Yes,5,
3,3,Man,No,28,5,Yes,0,
4,5,Man,Yes,47,7,No,2,
2,2,Man,Yes,39,10,Yes,15,
2,3,Man,No,43,10,Yes,16,
5,5,Man,No,27,10,No,2,We try to go in once a month to do some sort of social activity 
3,2,Man,Yes,38,3,Yes,60,
4,2,Man,No,29,10,Yes,4,
4,3,Man,Yes,41,10,Yes,3,
4,3,Man,Yes,46,9,Yes,20,"Hi, I work in London but live in Scotland so I have been hybrid working since 2007. Pre pandemic I used to do 3DPWK in London and WFH 2 DPWK. Post pandemic I have been going down to london much less, maybe averaging once every 3 or 4 weeks. I therefore chose the 4DPWK option in question 1, as that is my ""average"" over time. It would be really interesting to see if you get any themes from people who want to WFH more, or less. I've always felt that actuarial careers rely a lot on learning on the job, which in turn needs quite a lot of interaction between more, and less, experienced people. I do worry that students are missing out on ""informal"" learning by being around more senior folk."
3,2,Man,No,41,7,Yes,3,
3,1,Man,Yes,44,7,Yes,4,"We do not have an official hybrid working policy.  My official place of work is the office, but in practise most people WFH at least one day per week."
5,5,Man,No,53,10,No,25,
3,2,Man,Yes,52,8,Yes,0,
4,2,Man,Yes,37,2,Yes,1,
3,5,Man,Yes,45,9,Yes,11,
2,3,Woman,No,30,8,Yes,0,
4,3,Man,Yes,29,9,No,15,"I work 4 days a week, but slightly longer hours on those 4 days. Might be interesting to analyse part time working"
3,3,Man,No,60,10,Yes,9,"People express concerns about the difficulty of managing hybrid staff, but the managers who report to me have only ever managed hybrid staff and they seem to be doing it rather well."
3,3,Man,No,36,8,Yes,2,
2,2,Man,Yes,34,9,Yes,4,
2,2,Man,Yes,38,8,Yes,19,
2,5,Woman,Yes,36,8,Yes,30,
5,3,Man,Yes,28,8,Yes,4,
2,2,Woman,Yes,43,8,Yes,35,
4,4,Man,Yes,52,10,No,17,
3,4,Man,No,34,9,Yes,1,
5,5,Woman,No,33,10,Yes,0,
2,2,Man,No,34,5,Yes,0,"Most important thing isn't really the number of days WFH, it is the flexibility of WFH when the need arises e.g. caring responsibilities, trandesman visits etc."
5,5,Man,Yes,39,10,Yes,12,A pay cut is a bit ridiculous for people generally working harder at home. It's more of a benefit (which like health insurance or medicals overall I see increasing productivity). We aren't remote first we are flexible working (I.e. some people choose to come in more).
3,2,Man,Yes,39,7,Yes,0,
2,2,Woman,No,52,8,Yes,0,
2,2,Man,Yes,33,7,Yes,6,
3,2,Man,No,46,6,No,4,
4,3,Woman,Yes,41,7,Yes,0,Working from home has helped me managed not just my physical health but my mental health. The days I do go to the office are often stressful due to the crowd of people travelling by tube. 
2,2,Man,Yes,38,10,Yes,35,
4,3,Man,No,38,8,Yes,3,
0,1,Man,No,33,5,Yes,3,
3,3,Man,Yes,58,8,Yes,50,
1,4,Man,No,30,9,Yes,20,
3,3,Man,Yes,39,8,Yes,5,
1,2,Man,Yes,54,8,Yes,15,
2,1,Man,No,33,7,Yes,1,
2,2,Man,No,37,7,Yes,2,
4,3,Man,No,54,10,No,14,Q9 was answered in reverse ie I am very happy with current position (in office around once a fortnight) but would demand much more to commute into office more frequently. Would also be interesting to look at extra hours worked when working from home - I tend to work extra hours in what would have been commute time.
1,4,Woman,No,49,10,Yes,12,
3,3,Man,Yes,45,10,Yes,14,
3,2,Woman,Yes,37,7,Yes,10,"Other forms of flexible working, eg compressed hours, part time"
4,5,Man,No,39,10,Yes,45,I just want to clarify point Q2... Our policy is that employees should work where it most suits the activity they are doing that day.  I have selected the last option but our policy is not WFH first - it is work where best suits.  
0,0,Man,No,53,10,Yes,220,
1,2,Prefer not to say,Yes,55,8,Yes,5,"My answers could change depending on my personal circumstances at the time, e.g. family illness"
2,1,Woman,Yes,41,8,Yes,4,I like being in the office and find it much easier to manage a team and interact with the business. But from a personal point it would be more convenient to WFH an extra day due to childcare. 
0,3,Man,No,56,0,No,8,
2,3,Man,No,35,8,No,5,
3,2,Man,Yes,51,10,No,3,
5,5,Man,No,55,3,Yes,6,
2,2,Man,Yes,47,10,Yes,19,
1,2,Man,No,35,8,Yes,15,"I work for a global business with a few entities around the world. The attitude's to WFO/WFH vary considerably in the different locations - largely where bigger cities = longer / more expensive commutes and thus more resistance from the market to go in vs. a cheaper / smaller / easier to travel location. I think the London Market has centred to around 3 days in the office, and if anything is increasing rather than decreasing - which I'm enthused by. I feared moving to a virtual world would have extremely bad outcomes for the quality of actuarial work, peoples mental health etc There are some exceptions - family care being the primary one.  "
1,2,Man,Yes,45,2,Yes,2,
2,3,Man,Yes,46,10,Yes,18,
2,4,Woman,No,31,2,Yes,0,US-owned company. Much of the RTO is driven by their policies: the UK heads appear to prefer flexibility but hands are tied.
3,2,Woman,No,29,6,Yes,0,
4,3,Woman,Yes,36,8,Yes,4,
4,3,Woman,No,30,8,Yes,0,
3,2,Man,No,31,7,Yes,2,
4,4,Woman,Yes,45,7,Yes,5,I have a hybrid contract that i needed to apply for
3,4,Woman,Yes,38,9,No,30,
3,2,Man,Yes,53,6,Yes,1,
1,2,Woman,Yes,31,8,Yes,6,
3,2,Man,Yes,33,7,Yes,5,
3,2,Man,No,46,7,Yes,0,
2,3,Man,Yes,38,9,Yes,2,"I'm happy with the current balance between office and remote working and think it's important that employees don't see regular wfh as their norm. If we're never seen this negatively affects morale, building relationships and learning and therefore the impact actuaries can have on the businesses we work in."
4,2,Woman,Yes,36,6,Yes,1,
1,2,Woman,No,29,6,No,1,"My employer has an office in the City, but I work in a regional office so have answered Q7 based on this. It would be interesting to see results split in the City / not in the City (this might be your intention from Q7)."
4,4,Woman,No,28,9,Yes,7,
2,1,Man,No,34,4,Yes,3,
3,2,Woman,Yes,45,10,Yes,34,"Junior folks would benefit the most from face time in the office. Senior folks who can run with things autonomously less so, although would still benefit from increased visibility if there is sufficient senior leadership mass in the office."
3,2,Man,Yes,43,8,No,60,
3,2,Man,No,43,5,No,3,I do not adhere to my employers official hybrid policy. Think it is common for people to do less than official policy dictates
1,2,Man,No,38,6,Yes,2,
2,2,Man,Yes,37,5,Yes,3,
3,3,Man,No,60,10,No,50,Does length of commute influence how many days you would like  to WFH?
2,2,Woman,No,46,10,Yes,5,
3,2,Man,Yes,36,7,Yes,20,
2,3,Man,No,30,8,Yes,4,
4,3,Man,Yes,43,8,No,20,
3,2,Man,Yes,35,9,Yes,2,
0,2,Man,Yes,57,10,Yes,17,
2,2,Man,Yes,45,8,Yes,5,
1,3,Man,No,30,4,Yes,2,
2,3,Man,No,37,7,Yes,24,Personally I feel I need to be in office when my team is in - in reality there is someone in office every day despite the HR policy being 2 days in office / week so I end up WFH like 1 day per month.
4,3,Man,No,30,8,No,0,
5,5,Woman,No,32,8,No,3,
1,2,Man,Yes,49,8,Yes,0,
5,5,Man,Yes,31,10,No,0,"Contractually I prefer a fully remote role so that the choice to go in lies with me. In practice, I'd like to go in once in a week."
2,5,Man,Yes,44,10,Yes,0,
5,4,Man,No,34,10,No,0,
2,2,Man,No,30,7,Yes,5,
4,4,Man,No,32,10,Yes,2,
4,5,Man,Yes,35,9,No,5,
2,2,Man,Yes,39,8,Yes,6,
4,3,Woman,Yes,40,10,No,2,
1,3,Woman,No,35,7,Yes,7,
3,3,Woman,No,52,10,Yes,0 in current role,I use to manage  people  and expect to do so again soon 
4,4,Man,No,29,9,No,2,
5,3,Woman,Yes,34,9,Yes,2,
2,2,Man,Yes,37,8,Yes,1,
3,2,Woman,No,30,8,Yes,2,
2,3,Man,Yes,36,4,Yes,1,
2,3,Man,Yes,35,7,Yes,4,
4,4,Man,Yes,32,10,Yes,1,
5,4,Man,No,30,9,No,2,
3,2,Man,Yes,41,7,Yes,3,
1,2,Man,No,29,5,Yes,0,
4,2,Woman,Yes,37,3,Yes,0,
3,2,Woman,Yes,44,8,Yes,70,
3,2,Man,Yes,37,5,Yes,1,
4,4,Man,Yes,33,8,Yes,0,
2,2,Woman,Yes,36,8,Yes,2.5,
4,3,Man,No,48,9,Yes,49,
2,3,Man,No,27,9,Yes,1,
3,2,Man,Yes,36,5,Yes,0,
3,5,Man,Yes,44,10,Yes,96,
4,3,Woman,No,31,5,Yes,5,
3,5,Man,No,29,9,Yes,1,
0,5,Man,Yes,58,2,Yes,165,"This is emperor's new clothes. No-one will admit that WFH materially damages culture, productivity, training, community, etc. because everyone wants to protect their own right to WFH "
5,2,Man,Yes,41,4,Yes,3,
4,5,Woman,No,30,9,No,1,
1,1,Man,Yes,53,8,Yes,17,
3,2,Man,Yes,45,4,Yes,4,
5,4,Man,No,33,10,Yes,0,"Hi Michael, I'll be emailing you separately, I'm interested in the range of employers doing remote first."
5,2,Man,Yes,38,6,Yes,8,Company's official working policies are very different to actual working practices
2,2,Woman,No,38,10,No,10,
3,3,Man,Yes,39,6,No,5,
4,2,Man,No,32,5,Yes,1,
3,5,Man,No,34,8,Yes,10,
2,2,Man,Yes,49,8,Yes,45,what should be the optimal number of days in the office (by age band)?
3,2,Woman,Yes,43,6,Yes,0,"As long as work is done, it does not matter whether it’s done at home or in the office. "
3,3,Man,Yes,38,10,No,20,
4,2,Man,No,30,5,Yes,3,
4,3,Man,Yes,47,9,Yes,10,
2,2,Man,No,28,7,Yes,0,
3,2,Woman,No,40,9,Yes,5,
5,5,Man,Yes,41,10,No,4,
3,3,Man,Yes,43,8,Yes,15,
1,4,Man,No,39,9,Yes,7,
3,3,Woman,No,48,3,Yes,1,Current policy was very flexible and I was employed on a hybrid working condition. Now the company is making noises that this was a trial and may want to impose attendance. Hence my scoring low for recommendation. 
2,3,Man,No,27,6,Yes,0,
3,5,Man,Yes,37,9,Yes,3,
1,2,Man,Yes,50,7,Yes,4,
1,5,Man,No,36,9,Yes,5,"Company policy is completely flexible, but my boss wants us in the office two days a week."
2,2,Woman,No,30,10,Yes,0,
3,3,Man,Yes,56,9,Yes,12,
3,5,Woman,Yes,48,2,Yes,8,
4,3,Man,No,34,8,No,3,Job cut for more WFH? Employers are crazy to suggest that in this job market.
4,5,Man,No,33,10,Yes,5,
1,3,Man,No,52,5,Yes,3,"I hate hybrid working. Bad for teams, bad for the employer, really bad for young actuarial students who are missing out out on Learning By Osmosis. Let's move to 4/days office, with a softer day on Friday to catch up with admin, etc (on the way to a global official 4/days week)."
3,4,Man,Yes,37,9,Yes,7,
4,3,Man,No,33,7,Yes,7,
3,3,Man,Yes,39,8,Yes,5,
2,3,Man,No,36,10,Yes,13,
2,2,Woman,No,37,7,Yes,3,
3,3,Man,Yes,37,8,No,13,
4,4,Prefer not to say,Yes,34,10,Yes,3,
3,3,Woman,No,29,10,Yes,1,
4,3,Man,No,57,8,Yes,5,
2,2,Man,Yes,38,7,Yes,20,
3,2,Man,No,31,7,Yes,1,
3,3,Woman,No,31,10,No,13,Canary wharf office
5,5,Man,Yes,49,10,Yes,1,
1,2,Man,No,29,8,Yes,6,
4,4,Man,No,52,10,Yes,10,
2,4,Woman,No,34,8,Yes,0,
2,3,Woman,Yes,33,5,Yes,1,
2,1,Woman,Yes,42,6,Yes,8,
0,4,Man,No,46,7,No,12,Actual hybrid policy is to be in the office 2 days per month (or 0.5 per week which wasn't an option above).
2,5,Man,Yes,51,10,No,5,My employer is 100% home based with clients mostly in EC3
3,2,Man,Yes,43,10,Yes,5,
2,5,Man,No,32,8,Yes,3,
1,2,Man,No,32,8,Yes,3,
4,2,Man,No,38,3,No,4,"Would love to see a list of employers offering fully remote work, as this is something I'm interested in (as hybrid policy as currently changed with my current employer)"
3,3,Man,Yes,54,10,Yes,10,
2,2,Woman,Yes,36,9,Yes,3,
2,2,Woman,Yes,38,7,Yes,4,
4,2,Woman,No,41,0,Yes,9,
3,2,Man,No,54,3,No,27,
2,2,Man,Yes,41,7,Yes,8,
2,2,Man,No,39,8,Yes,0,
2,3,Woman,No,31,8,No,5,
1,1,Man,Yes,54,9,Yes,17,
3,4,Man,Yes,38,9,Yes,25,
4,3,Man,Yes,45,8,Yes,3,Re Q7 postcode is E1 but it is very close to the City Mile. You could perhaps ask for first three digits of respondent's postcode and include a 'prefer not to say' option in case someone wants to opt out. Thanks for the survey!
